Following Athlete ID,Follow Status,Favorite Status
196675833,Accepted,Boost Activities in Feed
66393463,Accepted,Boost Activities in Feed | Subscribed to Activity Notifications on Upload
103193701,Accepted,""
70168416,Accepted,""
64239640,Accepted,""
5334811,Accepted,""
40334767,Accepted,""
88908626,Accepted,""
93201886,Accepted,""
8556693,Accepted,""
88194820,Accepted,""
7837597,Accepted,""
89952721,Accepted,""
99489667,Accepted,""
74746615,Accepted,""
15669252,Accepted,""
57674944,Accepted,""
17695860,Accepted,""
66895106,Accepted,""
105144252,Accepted,""
11598631,Accepted,""
13678908,Accepted,""
85166626,Accepted,""
25793293,Accepted,""
66058652,Accepted,""
32433534,Accepted,""
93044892,Accepted,""
4805392,Accepted,""
27300451,Accepted,""
47299821,Accepted,""
70736783,Accepted,""
66565576,Accepted,""
5117171,Accepted,""
90708965,Accepted,""
100857259,Accepted,""
57154588,Accepted,""
56866969,Accepted,""
64992583,Accepted,""
40578107,Accepted,""
42051869,Accepted,""
63402380,Accepted,""
10664808,Accepted,""
26708445,Accepted,""
35059880,Accepted,""
101204351,Accepted,""
4828698,Accepted,""
101466091,Accepted,""
42729344,Accepted,""
88914748,Accepted,""
100055226,Accepted,""
69697198,Accepted,""
87492694,Accepted,""
101746048,Accepted,""
95244130,Accepted,""
24817440,Accepted,""
97837553,Accepted,""
92576459,Accepted,""
59967376,Accepted,""
55128169,Accepted,""
98869072,Accepted,""
50538937,Accepted,""
78285327,Accepted,""
90107353,Accepted,""
32900967,Accepted,""
46500519,Accepted,""
79572421,Accepted,""
11365507,Accepted,""
102087837,Accepted,""
32271841,Accepted,""
82277961,Accepted,""
22653192,Accepted,""
15736771,Accepted,""
20672390,Accepted,""
68239715,Accepted,""
85379626,Accepted,""
42878738,Accepted,""
16203480,Accepted,""
29585684,Accepted,""
46309902,Accepted,""
64843203,Accepted,""
47079678,Accepted,""
99701222,Accepted,""
29232793,Accepted,""
21569853,Accepted,""
73307992,Accepted,""
61258774,Accepted,""
16889258,Accepted,""
40229202,Accepted,""
72032844,Accepted,""
10125051,Accepted,""
70042816,Accepted,""
71961214,Accepted,""
53593054,Accepted,""
25681784,Accepted,""
61467178,Accepted,""
69213456,Accepted,""
84550755,Accepted,""
84272280,Accepted,""
88031125,Accepted,""
47796379,Accepted,""
80912037,Accepted,""
84684379,Accepted,""
62517871,Accepted,""
47364481,Accepted,""
66310321,Accepted,""
80094615,Accepted,""
69334143,Accepted,""
31644591,Accepted,""
10758081,Accepted,""
73299753,Accepted,""
44499842,Accepted,""
84886635,Accepted,""
83121658,Accepted,""
63092240,Accepted,""
17457904,Accepted,""
79832837,Accepted,""
32733298,Accepted,""
80797107,Accepted,""
24053469,Accepted,""
2975575,Accepted,""
73501390,Accepted,""
53091454,Accepted,""
78916549,Accepted,""
63940489,Accepted,""
72786327,Accepted,""
34774445,Accepted,""
78128206,Accepted,""
42062140,Accepted,""
77038531,Accepted,""
9338936,Accepted,""
69454682,Accepted,""
61476246,Accepted,""
78586377,Accepted,""
20743909,Accepted,""
74482466,Accepted,""
63247394,Accepted,""
62150912,Accepted,""
70283546,Accepted,""
62079652,Accepted,""
9820413,Accepted,""
31761131,Accepted,""
39684383,Accepted,""
61590137,Accepted,""
61100292,Accepted,""
70011968,Accepted,""
57001452,Accepted,""
47708560,Accepted,""
44959366,Accepted,""
23173536,Accepted,""
60658317,Accepted,""
15370236,Accepted,""
11342407,Accepted,""
48376389,Accepted,""
39616615,Accepted,""
41290125,Accepted,""
66494178,Accepted,""
21609411,Accepted,""
12268229,Accepted,""
48296973,Accepted,""
44682069,Accepted,""
41415350,Accepted,""
42049834,Accepted,""
14762271,Accepted,""
25136970,Accepted,""
48013213,Accepted,""
52856978,Accepted,""
54144287,Accepted,""
64644386,Accepted,""
35489070,Accepted,""
19104910,Accepted,""
16789845,Accepted,""
8301120,Accepted,""
43850671,Accepted,""
64536043,Accepted,""
59393886,Accepted,""
53402224,Accepted,""
52708983,Accepted,""
46825560,Accepted,""
51997256,Accepted,""
25134885,Accepted,""
5416604,Accepted,""
62818320,Accepted,""
43446567,Accepted,""
64432843,Accepted,""
60472820,Accepted,""
64589024,Accepted,""
9760617,Accepted,""
59174865,Accepted,""
44903240,Accepted,""
63459265,Accepted,""
8605838,Accepted,""
47359326,Accepted,""
52645666,Accepted,""
44154429,Accepted,""
52595526,Accepted,""
57829340,Accepted,""
57966634,Accepted,""
34007543,Accepted,""
59786012,Accepted,""
59209959,Accepted,""
55155797,Accepted,""
58921321,Accepted,""
11367581,Accepted,""
53368640,Accepted,""
42137935,Accepted,""
57749227,Accepted,""
13716264,Accepted,""
35349916,Accepted,""
30054510,Accepted,Muted Activities in Feed
43692172,Accepted,Muted Activities in Feed
23774810,Accepted,""
6240325,Accepted,""
48733593,Accepted,""
26044834,Accepted,""
47952305,Accepted,""
33974935,Accepted,""
14382711,Accepted,""
39847978,Accepted,""
44932471,Accepted,""
33494814,Accepted,""
45734073,Accepted,""
14540261,Accepted,""
39591654,Accepted,""
5104690,Accepted,""
39486596,Accepted,""
40295267,Accepted,""
44407194,Accepted,""
6539630,Accepted,""
30649400,Accepted,""
42169218,Accepted,""
