Date,Route ID
"Sep 22, 2025, 11:20:25 AM",3405167619493046634
"Sep 22, 2025, 12:13:53 PM",3405181071540001990
"Jan 16, 2025, 1:05:53 AM",3314778386051146170
"Sep 22, 2025, 9:46:10 AM",3405143899847153862
"Sep 21, 2025, 8:54:21 AM",3404768470752501982
"Sep 22, 2025, 9:03:29 AM",3405133155263202342
"Sep 22, 2025, 9:28:19 AM",3405139404999206086
"Oct 20, 2025, 1:25:41 PM",3415335881088172996
"Sep 22, 2025, 10:08:11 AM",3405149438940883142
"Sep 22, 2025, 9:58:15 AM",3405146940778336454
"Oct 22, 2025, 10:45:30 AM",3416012615853722840
"Jul 13, 2025, 2:59:43 PM",3379493266996692622
"Dec 18, 2025, 2:34:05 PM",3436713350172750290
"Sep 21, 2025, 8:22:05 AM",3404760350408088268
